trip_id,user_id,request_ts,completed_ts,pickup_city,dropoff_city,tariff,order_status,distance_km,duration_min,surge_multiplier,eta_minutes,gmv,platform_revenue,promo_discount,driver_bonus,processing_cost,insurance_cost,support_cost,refund_amount,variable_ops_cost,contribution_margin,rating,is_airport_trip,weather_bucket,payment_method
T0000013,U00003,2026-03-26T19:46:00,,Казань,Казань,Эконом,cancelled_rider,0.0,0.0,1.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,-0.62,,False,Снег,Наличные
T0000014,U00003,2026-03-30T16:11:00,2026-03-30T16:14:00,Казань,Казань,Эконом,completed,0.96,3.9,1.0,5.3,108.13,23.79,0.0,0.0,6.0,4.0,0.0,0.0,10.0,13.79,4.5,False,Ясно,Наличные
T0000015,U00004,2024-12-03T13:29:00,2024-12-03T14:01:00,Москва,Москва,Эконом,completed,9.31,32.3,1.06,7.3,328.11,72.18,0.0,0.0,6.0,4.0,0.0,0.0,10.0,62.18,5.0,False,Пиковый спрос,Карта
T0000016,U00004,2025-01-12T18:52:00,2025-01-12T19:25:00,Москва,Москва,Эконом,completed,7.71,33.5,1.0,10.4,270.06,59.41,0.0,0.0,6.0,4.0,0.0,0.0,10.0,49.41,5.0,False,Ясно,Карта
T0000017,U00004,2025-02-24T21:07:00,2025-02-24T21:16:00,Москва,Москва,Эконом,completed,2.8,9.1,1.39,2.6,211.08,46.44,0.0,0.0,6.0,4.0,0.0,0.0,10.0,36.44,4.5,False,Дождь,Карта
T0000018,U00004,2025-04-30T15:26:00,2025-04-30T15:40:00,Москва,Москва,Эконом,completed,3.7,14.8,1.0,6.1,173.89,38.25,0.0,0.0,6.0,4.0,19.9,0.0,29.9,8.36,4.2,False,Ясно,Карта
T0000019,U00004,2025-07-17T19:18:00,,Москва,Москва,Эконом,cancelled_rider,0.0,0.0,1.3,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Дождь,Карта
T0000020,U00004,2025-07-31T13:28:00,2025-07-31T14:00:00,Москва,Москва,Эконом,completed,8.17,33.0,1.0,4.3,281.2,61.86,39.29,0.0,6.0,4.0,0.0,0.0,10.0,12.57,4.9,False,Ясно,Карта
T0000021,U00004,2025-08-09T13:17:00,2025-08-09T13:33:00,Москва,Москва,Эконом,completed,5.11,16.0,1.0,5.5,207.69,45.69,0.0,0.0,6.0,4.0,21.21,0.0,31.21,14.48,5.0,False,Ясно,Карта
T0000022,U00004,2025-08-27T19:11:00,,Москва,Москва,Эконом,cancelled_rider,0.0,0.0,1.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Ясно,Карта
T0000023,U00004,2025-11-13T19:25:00,2025-11-13T19:50:00,Москва,Москва,Эконом,completed,6.63,25.3,1.22,5.3,297.93,65.54,0.0,0.0,6.0,4.0,0.0,0.0,10.0,55.54,5.0,False,Дождь,Карта
T0000024,U00004,2025-12-22T10:33:00,2025-12-22T10:45:00,Москва,Москва,Эконом,completed,4.12,13.0,1.0,5.7,183.94,40.47,0.0,0.0,6.0,4.0,0.0,0.0,10.0,30.47,5.0,False,Ясно,Карта
T0000025,U00005,2025-03-13T18:23:00,2025-03-13T18:44:00,Москва,Москва,Эконом,completed,5.87,21.7,1.1,7.9,247.6,54.47,0.0,0.0,6.0,4.0,22.9,0.0,32.9,21.57,5.0,False,Дождь,Карта
T0000026,U00005,2025-05-03T17:40:00,2025-05-03T17:56:00,Москва,Москва,Эконом,completed,5.87,16.9,1.0,7.2,225.91,49.7,0.0,0.0,6.0,4.0,0.0,0.0,10.0,39.7,4.7,False,Ясно,Карта
T0000027,U00005,2025-05-18T21:22:00,2025-05-18T21:41:00,Москва,Москва,Эконом,completed,5.67,19.6,1.0,8.7,221.02,48.63,0.0,0.0,6.0,4.0,0.0,0.0,10.0,38.63,5.0,False,Ясно,Карта
T0000028,U00005,2025-07-04T13:39:00,2025-07-04T13:55:00,Москва,Москва,Эконом,completed,4.22,16.9,1.0,8.4,186.17,40.96,0.0,0.0,6.0,4.0,0.0,0.0,10.0,30.96,4.6,False,Ясно,Карта
T0000029,U00005,2025-07-15T15:40:00,,Москва,Москва,Эконом,cancelled_driver,0.0,0.0,1.43,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Пиковый спрос,Карта
T0000030,U00005,2025-07-31T18:42:00,2025-07-31T18:58:00,Москва,Москва,Эконом,completed,4.1,16.5,1.42,5.3,260.51,57.31,0.0,0.0,6.0,4.0,0.0,0.0,10.0,47.31,4.6,False,Дождь,Карта
T0000031,U00005,2025-10-09T19:11:00,2025-10-09T19:49:00,Москва,Москва,Эконом,completed,15.71,38.1,1.42,6.1,655.7,144.25,0.0,36.92,7.87,5.25,0.0,0.0,13.11,94.22,4.3,True,Праздник,Карта
T0000032,U00005,2025-11-05T13:36:00,2025-11-05T14:19:00,Москва,Москва,Эконом,completed,14.79,43.8,1.0,7.1,439.85,96.77,0.0,0.0,6.0,4.0,0.0,0.0,10.0,86.77,5.0,False,Ясно,Карта
T0000033,U00005,2025-11-08T10:57:00,2025-11-08T11:42:00,Москва,Санкт-Петербург,Эконом,completed,11.77,45.2,1.0,4.6,367.46,80.84,0.0,0.0,6.0,4.0,0.0,0.0,10.0,70.84,4.3,True,Ясно,Карта
T0000034,U00005,2025-12-05T16:36:00,2025-12-05T17:23:00,Москва,Москва,Эконом,completed,11.22,47.7,1.0,9.1,354.35,77.96,0.0,0.0,6.0,4.0,29.81,165.03,39.81,-126.89,3.9,False,Снег,Карта
T0000035,U00005,2025-12-23T19:29:00,2025-12-23T19:43:00,Москва,Москва,Бизнес,completed,4.15,14.6,1.0,8.5,430.99,120.68,0.0,0.0,6.0,4.0,0.0,0.0,10.0,110.68,4.5,False,Ясно,Карта
T0000036,U00005,2025-12-25T22:53:00,2025-12-25T23:31:00,Москва,Москва,Эконом,completed,9.41,38.8,1.19,8.8,369.47,81.28,43.92,0.0,6.0,4.0,0.0,0.0,10.0,27.36,4.7,False,Дождь,Карта
T0000037,U00005,2026-01-01T18:19:00,2026-01-01T18:29:00,Москва,Москва,Эконом,completed,3.61,10.8,1.0,6.1,171.72,37.78,0.0,0.0,6.0,4.0,0.0,33.15,10.0,-5.37,4.5,False,Ясно,Карта
T0000038,U00005,2026-01-24T13:20:00,2026-01-24T13:27:00,Москва,Москва,Эконом,completed,2.38,7.5,1.0,6.3,142.17,31.28,0.0,0.0,6.0,4.0,0.0,0.0,10.0,21.28,5.0,False,Ясно,Карта
T0000039,U00005,2026-01-26T19:58:00,2026-01-26T20:21:00,Москва,Москва,Эконом,completed,6.46,23.9,1.28,4.2,306.92,67.52,0.0,0.0,6.0,4.0,0.0,0.0,10.0,57.52,5.0,False,Пиковый спрос,Карта
T0000040,U00006,2025-01-18T08:10:00,2025-01-18T08:29:00,Казань,Казань,Эконом,completed,6.43,19.3,1.35,4.2,323.15,71.09,0.0,17.01,6.0,4.0,0.0,0.0,10.0,44.09,4.4,False,Пиковый спрос,Карта
T0000041,U00006,2025-02-18T10:33:00,,Казань,Казань,Эконом,cancelled_rider,0.0,0.0,1.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Ясно,Карта
T0000042,U00006,2025-03-01T14:39:00,2025-03-01T14:58:00,Казань,Казань,Эконом,completed,4.98,19.1,1.0,7.4,204.42,44.97,0.0,0.0,6.0,4.0,0.0,0.0,10.0,34.97,5.0,False,Ясно,Карта
T0000043,U00006,2025-03-15T06:35:00,2025-03-15T07:10:00,Казань,Казань,Эконом,completed,11.77,35.7,1.0,7.4,367.37,80.82,0.0,0.0,6.0,4.0,0.0,0.0,10.0,70.82,4.9,False,Ясно,Карта
T0000044,U00006,2025-05-20T17:22:00,2025-05-20T17:53:00,Казань,Казань,Эконом,completed,9.87,31.3,1.37,5.1,440.21,96.85,0.0,26.84,6.0,4.0,0.0,0.0,10.0,60.01,4.8,False,Пиковый спрос,Карта
T0000045,U00006,2025-08-22T17:45:00,2025-08-22T18:29:00,Казань,Казань,Эконом,completed,12.54,44.5,1.27,5.9,490.11,107.82,0.0,0.0,6.0,4.0,0.0,0.0,10.0,97.82,5.0,False,Дождь,Карта
T0000046,U00006,2025-12-13T09:41:00,2025-12-13T09:54:00,Казань,Казань,Эконом,completed,4.28,13.6,1.43,7.6,268.52,59.07,0.0,0.0,6.0,4.0,0.0,0.0,10.0,49.07,5.0,False,Дождь,Карта
T0000047,U00006,2026-01-29T21:04:00,2026-01-29T21:19:00,Казань,Казань,Эконом,completed,3.77,15.4,1.45,8.9,255.06,56.11,0.0,0.0,6.0,4.0,0.0,0.0,10.0,46.11,4.8,False,Праздник,Карта
T0000048,U00006,2026-02-18T18:48:00,2026-02-18T19:10:00,Казань,Казань,Эконом,completed,5.52,22.4,1.0,2.0,217.58,47.87,0.0,0.0,6.0,4.0,0.0,0.0,10.0,37.87,4.5,False,Ясно,Карта
T0000049,U00006,2026-02-26T20:29:00,2026-02-26T20:54:00,Казань,Казань,Эконом,completed,6.64,25.1,1.0,2.3,244.45,53.78,0.0,0.0,6.0,4.0,0.0,0.0,10.0,43.78,4.3,False,Ясно,Карта
T0000050,U00007,2025-03-06T10:45:00,2025-03-06T11:35:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,17.35,50.5,1.0,2.6,1038.16,290.69,0.0,0.0,12.46,8.31,40.6,0.0,61.36,229.33,5.0,False,Снег,Карта
T0000051,U00007,2025-04-02T09:08:00,2025-04-02T10:36:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,20.74,89.0,1.0,7.6,1194.04,334.33,0.0,0.0,14.33,9.55,0.0,0.0,23.88,310.45,4.3,False,Ясно,Карта
T0000052,U00007,2025-04-04T13:15:00,2025-04-04T14:19:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,22.51,64.3,1.0,8.0,1275.52,357.15,0.0,0.0,15.31,10.2,0.0,0.0,25.51,331.64,5.0,False,Снег,Карта
T0000053,U00007,2025-04-19T11:36:00,2025-04-19T12:39:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,20.11,63.9,1.0,6.0,1164.83,326.15,0.0,0.0,13.98,9.32,0.0,0.0,23.3,302.86,4.2,False,Ясно,Карта
T0000054,U00007,2025-05-19T12:08:00,2025-05-19T12:25:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,5.62,17.6,1.18,3.2,590.28,165.28,0.0,0.0,7.08,4.72,0.0,0.0,11.81,153.47,4.1,False,Пиковый спрос,Карта
T0000055,U00007,2025-05-28T09:51:00,2025-05-28T10:50:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,16.12,59.2,1.36,7.6,1332.11,372.99,0.0,34.62,15.99,10.66,0.0,0.0,26.64,311.73,5.0,False,Праздник,Карта
T0000056,U00007,2025-06-18T18:02:00,,Санкт-Петербург,Санкт-Петербург,Бизнес,cancelled_rider,0.0,0.0,1.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,-0.06,,False,Ясно,Карта
T0000057,U00007,2025-06-30T10:16:00,,Санкт-Петербург,Санкт-Петербург,Бизнес,cancelled_rider,0.0,0.0,1.13,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Пиковый спрос,Карта
T0000058,U00007,2025-07-17T11:32:00,2025-07-17T11:45:00,Санкт-Петербург,Санкт-Петербург,Эконом,completed,3.56,13.5,1.0,7.8,170.37,37.48,0.0,0.0,6.0,4.0,24.68,0.0,34.68,2.8,4.6,False,Ясно,Карта
T0000059,U00007,2025-08-12T13:51:00,2025-08-12T14:17:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,8.76,26.6,1.0,5.3,642.99,180.04,0.0,0.0,7.72,5.14,0.0,0.0,12.86,167.18,4.7,False,Ясно,Карта
T0000060,U00007,2025-10-06T11:31:00,2025-10-06T11:41:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,2.87,11.0,1.39,2.1,516.29,144.56,39.67,0.0,6.2,4.13,0.0,0.0,10.33,94.56,4.9,False,Дождь,Карта
T0000061,U00007,2025-10-06T06:32:00,2025-10-06T06:52:00,Санкт-Петербург,Санкт-Петербург,Комфорт,completed,6.25,20.8,1.26,6.2,407.73,97.86,39.48,0.0,6.0,4.0,0.0,0.0,10.0,48.37,5.0,False,Пиковый спрос,Карта
T0000062,U00007,2025-10-11T20:04:00,2025-10-11T20:50:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,15.58,46.6,1.19,6.2,1140.66,319.38,0.0,0.0,13.69,9.13,0.0,0.0,22.81,296.57,4.4,False,Пиковый спрос,Карта
T0000063,U00007,2025-10-26T06:59:00,2025-10-26T07:35:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,12.53,36.9,1.0,5.5,816.3,228.56,0.0,0.0,9.8,6.53,0.0,0.0,16.33,212.24,4.9,False,Ясно,Карта
T0000064,U00007,2025-11-23T21:24:00,2025-11-23T22:09:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,14.46,45.0,1.0,7.4,905.27,253.48,0.0,0.0,10.86,7.24,0.0,0.0,18.11,235.37,4.7,False,Ясно,Карта
T0000065,U00007,2025-11-28T22:12:00,2025-11-28T22:43:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,7.71,31.8,1.38,8.6,818.51,229.18,0.0,0.0,9.82,6.55,0.0,0.0,16.37,212.81,4.2,False,Пиковый спрос,Карта
T0000066,U00007,2025-12-02T22:21:00,,Санкт-Петербург,Санкт-Петербург,Бизнес,cancelled_driver,0.0,0.0,1.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Ясно,Карта
T0000067,U00007,2025-12-18T20:10:00,2025-12-18T20:28:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,6.38,18.2,1.3,9.0,691.8,193.7,0.0,0.0,8.3,5.53,0.0,0.0,13.84,179.87,4.4,False,Праздник,Карта
T0000068,U00007,2026-01-05T14:52:00,,Санкт-Петербург,Санкт-Петербург,Эконом,cancelled_rider,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,5.15,-5.15,,False,Ясно,Карта
T0000069,U00007,2026-01-18T16:55:00,2026-01-18T17:57:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,22.36,62.7,1.0,9.3,1268.61,355.21,0.0,0.0,15.22,10.15,0.0,0.0,25.37,329.84,5.0,False,Ясно,Карта
T0000070,U00007,2026-01-30T14:56:00,2026-01-30T15:52:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,14.29,57.0,1.14,4.4,1022.63,286.34,0.0,0.0,12.27,8.18,0.0,0.0,20.45,265.88,4.6,False,Дождь,Карта
T0000071,U00007,2026-02-09T20:12:00,2026-02-09T20:52:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,12.24,40.5,1.31,9.4,1049.01,293.72,0.0,0.0,12.59,8.39,36.15,0.0,57.13,236.59,4.8,False,Пиковый спрос,Карта
T0000072,U00007,2026-03-21T07:18:00,2026-03-21T07:59:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,11.19,41.8,1.0,7.7,754.73,211.32,26.7,0.0,9.06,6.04,0.0,0.0,15.09,169.53,4.5,False,Снег,Карта
T0000073,U00007,2026-03-23T08:57:00,2026-03-23T09:59:00,Санкт-Петербург,Санкт-Петербург,Бизнес,completed,16.5,62.6,1.41,7.4,1406.47,393.81,0.0,0.0,16.88,11.25,42.87,0.0,71.0,322.81,4.9,False,Дождь,Карта
T0000074,U00008,2025-05-30T14:58:00,2025-05-30T15:24:00,Москва,Москва,Эконом,completed,6.79,26.1,1.0,9.1,248.05,54.57,25.84,0.0,6.0,4.0,0.0,0.0,10.0,18.73,4.9,False,Ясно,Наличные
T0000075,U00008,2025-08-23T16:32:00,2025-08-23T17:02:00,Москва,Москва,Эконом,completed,9.83,30.8,1.21,4.9,388.16,85.4,23.29,0.0,6.0,4.0,0.0,85.1,10.0,-33.0,4.5,False,Пиковый спрос,Наличные
T0000076,U00009,2025-01-07T20:23:00,2025-01-07T20:50:00,Казань,Казань,Бизнес,completed,9.56,28.0,1.2,10.1,814.3,228.0,0.0,0.0,9.77,6.51,0.0,0.0,16.29,211.72,4.6,False,Дождь,Карта
T0000077,U00009,2025-03-01T20:50:00,2025-03-01T21:22:00,Казань,Казань,Бизнес,completed,10.94,32.1,1.0,5.0,743.42,208.16,0.0,0.0,8.92,5.95,0.0,0.0,14.87,193.29,5.0,False,Ясно,Карта
T0000078,U00009,2025-03-14T06:10:00,2025-03-14T06:25:00,Казань,Казань,Эконом,completed,5.25,15.4,1.0,9.0,210.95,46.41,16.08,0.0,6.0,4.0,0.0,0.0,10.0,20.33,5.0,False,Снег,Карта
T0000079,U00009,2025-03-18T19:30:00,2025-03-18T19:51:00,Казань,Казань,Эконом,completed,5.84,21.3,1.17,6.3,263.87,58.05,0.0,0.0,6.0,4.0,0.0,0.0,10.0,48.05,4.6,False,Пиковый спрос,Карта
T0000080,U00009,2025-04-25T07:50:00,2025-04-25T08:23:00,Казань,Казань,Комфорт,completed,8.62,33.5,1.0,2.9,397.17,95.32,69.58,0.0,6.0,4.0,0.0,0.0,10.0,15.74,5.0,False,Ясно,Карта
T0000081,U00009,2025-05-10T10:32:00,2025-05-10T11:12:00,Казань,Казань,Бизнес,completed,13.88,40.1,1.5,6.0,1319.67,369.51,0.0,58.11,15.84,10.56,0.0,0.0,26.39,285.01,4.8,False,Праздник,Карта
T0000082,U00009,2025-07-10T14:01:00,2025-07-10T14:23:00,Казань,Казань,Эконом,completed,6.91,22.6,1.0,2.0,250.91,55.2,44.13,0.0,6.0,4.0,0.0,0.0,10.0,1.07,5.0,False,Ясно,Карта
T0000083,U00009,2025-07-25T15:48:00,,Казань,Казань,Бизнес,cancelled_rider,0.0,0.0,1.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Пиковый спрос,Карта
T0000084,U00009,2025-08-16T07:19:00,,Казань,Казань,Бизнес,cancelled_rider,0.0,0.0,1.37,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.34,0.0,5.34,-5.34,,False,Праздник,Карта
T0000085,U00009,2025-10-18T22:49:00,2025-10-18T23:47:00,Казань,Казань,Бизнес,completed,18.07,58.8,1.19,9.3,1276.7,357.48,0.0,0.0,15.32,10.21,0.0,0.0,25.53,331.94,4.7,False,Дождь,Карта
T0000086,U00009,2025-10-26T14:35:00,2025-10-26T14:50:00,Казань,Казань,Эконом,completed,3.6,15.4,1.36,3.0,232.21,51.09,35.43,0.0,6.0,4.0,0.0,0.0,10.0,5.66,4.5,False,Пиковый спрос,Карта
T0000087,U00009,2025-10-29T18:14:00,2025-10-29T19:06:00,Казань,Екатеринбург,Бизнес,completed,15.61,52.2,1.0,8.8,957.84,268.19,80.43,0.0,11.49,7.66,0.0,0.0,19.16,168.61,4.4,True,Ясно,Карта
T0000088,U00009,2025-11-09T21:45:00,2025-11-09T22:18:00,Казань,Казань,Бизнес,completed,7.67,33.6,1.0,5.4,593.04,166.05,103.22,0.0,7.12,4.74,0.0,0.0,11.86,50.97,4.6,False,Ясно,Карта
T0000089,U00009,2025-12-09T21:03:00,2025-12-09T21:41:00,Казань,Казань,Эконом,completed,10.89,38.1,1.19,2.2,413.49,90.97,0.0,0.0,6.0,4.0,0.0,0.0,10.0,80.97,4.7,False,Дождь,Карта
T0000090,U00009,2025-12-15T13:57:00,2025-12-15T14:46:00,Казань,Казань,Эконом,completed,12.0,49.9,1.21,6.4,449.61,98.91,0.0,0.0,6.0,4.0,40.23,0.0,50.23,48.68,4.7,False,Дождь,Карта
T0000091,U00009,2025-12-21T21:34:00,2025-12-21T22:01:00,Казань,Казань,Бизнес,completed,8.68,27.8,1.41,5.7,901.23,252.35,0.0,0.0,10.81,7.21,0.0,0.0,18.02,234.32,4.4,False,Дождь,Карта
T0000092,U00009,2025-12-21T16:44:00,,Казань,Казань,Эконом,cancelled_driver,0.0,0.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,5.06,0.0,5.06,-5.06,,False,Ясно,Карта
T0000093,U00009,2025-12-23T14:09:00,2025-12-23T15:21:00,Казань,Казань,Бизнес,completed,23.14,72.2,1.0,7.7,1304.24,365.19,0.0,0.0,15.65,10.43,20.32,0.0,46.41,318.78,4.8,False,Ясно,Карта
T0000094,U00009,2025-12-26T20:50:00,2025-12-26T21:18:00,Казань,Казань,Бизнес,completed,7.83,28.4,1.11,9.1,666.95,186.75,0.0,0.0,8.0,5.34,0.0,0.0,13.34,173.41,5.0,False,Дождь,Карта
T0000095,U00009,2026-01-05T15:05:00,2026-01-05T15:54:00,Казань,Казань,Бизнес,completed,16.58,49.8,1.0,6.3,1002.76,280.77,0.0,0.0,12.03,8.02,0.0,0.0,20.06,260.72,5.0,False,Ясно,Карта
T0000096,U00010,2024-09-01T00:00:00,,Санкт-Петербург,Санкт-Петербург,Комфорт,cancelled_rider,0.0,0.0,1.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Пиковый спрос,Наличные
T0000097,U00011,2024-06-09T21:18:00,,Москва,Москва,Бизнес,cancelled_rider,0.0,0.0,1.25,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Праздник,Кошелек
T0000098,U00011,2024-06-25T06:11:00,2024-06-25T07:14:00,Москва,Москва,Бизнес,completed,19.66,63.2,1.28,6.2,1462.9,409.61,0.0,95.3,17.55,11.7,0.0,0.0,29.26,285.05,4.8,False,Пиковый спрос,Кошелек
T0000099,U00011,2024-09-22T18:53:00,2024-09-22T19:30:00,Москва,Санкт-Петербург,Бизнес,completed,18.67,37.9,1.0,5.4,1098.69,307.63,0.0,0.0,13.18,8.79,0.0,0.0,21.97,285.66,5.0,True,Ясно,Кошелек
T0000100,U00011,2024-10-22T22:02:00,2024-10-22T22:32:00,Москва,Москва,Бизнес,completed,9.55,30.8,1.14,8.0,771.87,216.12,0.0,0.0,9.26,6.17,0.0,0.0,15.44,200.69,5.0,False,Дождь,Кошелек
T0000101,U00011,2024-12-04T11:20:00,2024-12-04T12:04:00,Москва,Москва,Бизнес,completed,12.0,44.4,1.0,4.7,791.84,221.72,0.0,0.0,9.5,6.33,0.0,0.0,15.84,205.88,4.6,False,Ясно,Кошелек
T0000102,U00011,2024-12-27T11:52:00,2024-12-27T12:12:00,Москва,Москва,Бизнес,completed,7.01,20.6,1.0,9.0,562.54,157.51,0.0,0.0,6.75,4.5,0.0,0.0,11.25,146.26,5.0,False,Ясно,Кошелек
T0000103,U00011,2025-01-04T07:42:00,2025-01-04T08:12:00,Москва,Москва,Бизнес,completed,7.94,30.2,1.0,6.1,605.23,169.46,65.16,0.0,7.26,4.84,0.0,0.0,12.1,92.2,4.4,False,Ясно,Кошелек
T0000104,U00011,2025-01-08T22:25:00,2025-01-08T23:46:00,Москва,Москва,Бизнес,completed,24.8,81.0,1.25,4.4,1724.61,482.89,0.0,0.0,20.7,13.8,0.0,0.0,34.49,448.4,5.0,False,Дождь,Кошелек
T0000105,U00011,2025-01-09T22:41:00,2025-01-09T23:22:00,Москва,Москва,Бизнес,completed,14.59,41.9,1.35,8.0,1226.48,343.42,0.0,0.0,14.72,9.81,0.0,0.0,24.53,318.89,4.9,False,Дождь,Кошелек
T0000106,U00011,2025-02-25T15:28:00,2025-02-25T16:09:00,Москва,Москва,Бизнес,completed,9.47,41.5,1.0,3.4,675.5,189.14,0.0,0.0,8.11,5.4,20.43,0.0,33.94,155.2,5.0,False,Ясно,Кошелек
T0000107,U00011,2025-03-19T09:01:00,,Москва,Москва,Эконом,cancelled_driver,0.0,0.0,1.44,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,Пиковый спрос,Кошелек
T0000108,U00011,2025-04-14T13:21:00,2025-04-14T13:49:00,Москва,Москва,Бизнес,completed,8.37,28.8,1.07,5.5,666.88,186.73,60.25,0.0,8.0,5.34,0.0,0.0,13.34,113.13,4.9,False,Дождь,Кошелек
