campaign_id,campaign_name,campaign_type,touch_channel,start_ts,end_ts,target_segment_demo,touch_count,conversions,conversion_rate_7d,budget_demo
DIS_006,Discount / Retargeting / DIS_006,Discount,Retargeting,2024-02-18,2026-03-30,Смешанный сегмент,11,0,0.0,160.73
DIS_006,Discount / In-App / DIS_006,Discount,In-App,2025-02-09,2026-03-20,Смешанный сегмент,16,1,0.0625,266.55
DIS_006,Discount / Email / DIS_006,Discount,Email,2024-08-30,2026-03-24,Смешанный сегмент,13,0,0.0,208.03
DIS_007,Discount / Email / DIS_007,Discount,Email,2024-09-03,2026-03-25,Смешанный сегмент,17,0,0.0,323.32
DIS_007,Discount / In-App / DIS_007,Discount,In-App,2024-06-05,2026-03-28,Смешанный сегмент,17,0,0.0,267.48
DIS_007,Discount / Push / DIS_007,Discount,Push,2024-09-17,2026-03-28,Смешанный сегмент,31,2,0.0645,468.27
DIS_007,Discount / Retargeting / DIS_007,Discount,Retargeting,2024-05-17,2026-03-25,Смешанный сегмент,18,0,0.0,269.4
DIS_007,Discount / SMS / DIS_007,Discount,SMS,2026-02-06,2026-02-06,Смешанный сегмент,1,0,0.0,3.28
DIS_008,Discount / SMS / DIS_008,Discount,SMS,2024-04-14,2026-03-27,Смешанный сегмент,11,1,0.0909,159.17
DIS_008,Discount / Retargeting / DIS_008,Discount,Retargeting,2024-02-28,2026-03-28,Смешанный сегмент,12,0,0.0,221.61
DIS_008,Discount / Email / DIS_008,Discount,Email,2024-08-17,2026-03-31,Смешанный сегмент,13,1,0.0769,273.74
DIS_008,Discount / In-App / DIS_008,Discount,In-App,2024-09-11,2026-03-18,Смешанный сегмент,12,0,0.0,223.31
DIS_008,Discount / Push / DIS_008,Discount,Push,2024-11-04,2026-03-26,Смешанный сегмент,30,1,0.0333,456.37
DIS_009,Discount / Email / DIS_009,Discount,Email,2024-08-12,2026-03-26,Смешанный сегмент,13,0,0.0,283.61
DIS_009,Discount / In-App / DIS_009,Discount,In-App,2024-05-03,2026-03-10,Смешанный сегмент,10,1,0.1,129.77
DIS_009,Discount / Push / DIS_009,Discount,Push,2024-09-12,2026-03-31,Смешанный сегмент,24,1,0.0417,396.69
DIS_009,Discount / Retargeting / DIS_009,Discount,Retargeting,2024-04-08,2026-03-02,Смешанный сегмент,9,1,0.1111,168.89
DIS_009,Discount / SMS / DIS_009,Discount,SMS,2024-11-25,2026-03-28,Смешанный сегмент,9,1,0.1111,167.39
DIS_010,Discount / Email / DIS_010,Discount,Email,2024-12-06,2026-03-31,Смешанный сегмент,14,0,0.0,211.02
DIS_010,Discount / In-App / DIS_010,Discount,In-App,2024-07-09,2026-03-30,Смешанный сегмент,16,1,0.0625,227.93
DIS_010,Discount / Push / DIS_010,Discount,Push,2024-11-21,2026-03-28,Смешанный сегмент,11,1,0.0909,157.02
DIS_010,Discount / Retargeting / DIS_010,Discount,Retargeting,2025-04-10,2026-02-12,Смешанный сегмент,4,0,0.0,69.84
DIS_010,Discount / SMS / DIS_010,Discount,SMS,2025-10-21,2026-03-20,Смешанный сегмент,4,0,0.0,71.96
DIS_011,Discount / Retargeting / DIS_011,Discount,Retargeting,2025-05-13,2026-02-22,Смешанный сегмент,8,0,0.0,103.89
DIS_011,Discount / Push / DIS_011,Discount,Push,2024-10-17,2026-03-25,Смешанный сегмент,18,1,0.0556,286.71
DIS_011,Discount / SMS / DIS_011,Discount,SMS,2024-07-02,2026-02-13,Смешанный сегмент,12,0,0.0,147.23
DIS_011,Discount / Email / DIS_011,Discount,Email,2024-09-21,2026-03-25,Смешанный сегмент,18,0,0.0,299.19
DIS_011,Discount / In-App / DIS_011,Discount,In-App,2024-11-12,2026-03-17,Смешанный сегмент,15,0,0.0,224.68
DIS_012,Discount / Email / DIS_012,Discount,Email,2024-05-29,2026-03-22,Смешанный сегмент,15,0,0.0,259.24
DIS_012,Discount / In-App / DIS_012,Discount,In-App,2024-07-30,2026-03-30,Смешанный сегмент,18,0,0.0,271.9
DIS_012,Discount / Push / DIS_012,Discount,Push,2024-04-13,2026-03-28,Смешанный сегмент,24,0,0.0,402.75
DIS_012,Discount / Retargeting / DIS_012,Discount,Retargeting,2025-04-25,2026-03-27,Смешанный сегмент,9,0,0.0,140.43
DIS_012,Discount / SMS / DIS_012,Discount,SMS,2024-12-23,2026-01-19,Смешанный сегмент,4,0,0.0,68.66
DIS_013,Discount / SMS / DIS_013,Discount,SMS,2024-08-08,2026-03-30,Смешанный сегмент,9,0,0.0,155.52
DIS_013,Discount / Retargeting / DIS_013,Discount,Retargeting,2025-12-31,2026-03-03,Смешанный сегмент,6,0,0.0,70.25
DIS_013,Discount / Push / DIS_013,Discount,Push,2024-07-16,2026-03-29,Смешанный сегмент,37,0,0.0,632.73
DIS_013,Discount / Email / DIS_013,Discount,Email,2024-10-14,2026-03-29,Смешанный сегмент,16,0,0.0,276.05
DIS_013,Discount / In-App / DIS_013,Discount,In-App,2024-05-13,2026-02-15,Смешанный сегмент,12,0,0.0,183.83
DIS_014,Discount / Email / DIS_014,Discount,Email,2025-04-03,2026-03-26,Смешанный сегмент,14,0,0.0,253.45
DIS_014,Discount / In-App / DIS_014,Discount,In-App,2024-09-03,2026-03-19,Смешанный сегмент,12,1,0.0833,206.05
DIS_014,Discount / Push / DIS_014,Discount,Push,2024-01-19,2026-03-26,Смешанный сегмент,27,0,0.0,438.39
DIS_014,Discount / Retargeting / DIS_014,Discount,Retargeting,2025-01-01,2026-01-27,Смешанный сегмент,9,1,0.1111,127.32
DIS_014,Discount / SMS / DIS_014,Discount,SMS,2024-06-13,2026-03-05,Смешанный сегмент,7,1,0.1429,107.95
DIS_015,Discount / SMS / DIS_015,Discount,SMS,2024-06-10,2026-03-31,Смешанный сегмент,9,0,0.0,203.33
DIS_015,Discount / Retargeting / DIS_015,Discount,Retargeting,2024-12-02,2026-03-15,Смешанный сегмент,8,0,0.0,152.06
DIS_015,Discount / Email / DIS_015,Discount,Email,2024-09-19,2026-01-01,Смешанный сегмент,11,1,0.0909,160.17
DIS_015,Discount / In-App / DIS_015,Discount,In-App,2024-08-11,2026-02-15,Смешанный сегмент,16,0,0.0,297.85
DIS_015,Discount / Push / DIS_015,Discount,Push,2024-06-06,2026-03-31,Смешанный сегмент,34,0,0.0,494.97
DIS_016,Discount / Email / DIS_016,Discount,Email,2024-09-17,2026-03-29,Смешанный сегмент,15,0,0.0,273.06
DIS_016,Discount / In-App / DIS_016,Discount,In-App,2025-06-22,2026-03-30,Смешанный сегмент,13,0,0.0,256.33
DIS_016,Discount / Push / DIS_016,Discount,Push,2024-06-16,2026-03-20,Смешанный сегмент,27,0,0.0,407.7
DIS_016,Discount / Retargeting / DIS_016,Discount,Retargeting,2025-06-16,2026-03-28,Смешанный сегмент,10,1,0.1,122.64
DIS_016,Discount / SMS / DIS_016,Discount,SMS,2024-01-20,2026-03-25,Смешанный сегмент,6,0,0.0,86.99
DIS_017,Discount / Email / DIS_017,Discount,Email,2024-08-25,2026-02-18,Смешанный сегмент,10,1,0.1,143.95
DIS_017,Discount / In-App / DIS_017,Discount,In-App,2025-01-28,2026-02-18,Смешанный сегмент,6,0,0.0,96.96
DIS_017,Discount / Push / DIS_017,Discount,Push,2024-10-19,2026-03-30,Смешанный сегмент,34,1,0.0294,623.62
DIS_017,Discount / Retargeting / DIS_017,Discount,Retargeting,2025-05-04,2026-02-19,Смешанный сегмент,5,0,0.0,46.15
DIS_017,Discount / SMS / DIS_017,Discount,SMS,2025-09-18,2026-02-12,Смешанный сегмент,4,1,0.25,79.68
DIS_018,Discount / Retargeting / DIS_018,Discount,Retargeting,2025-06-29,2026-03-14,Смешанный сегмент,8,0,0.0,158.75
DIS_018,Discount / Push / DIS_018,Discount,Push,2024-02-09,2026-03-28,Смешанный сегмент,32,0,0.0,503.49
DIS_018,Discount / SMS / DIS_018,Discount,SMS,2024-06-10,2026-01-08,Смешанный сегмент,8,0,0.0,109.29
DIS_018,Discount / Email / DIS_018,Discount,Email,2024-02-09,2026-03-25,Смешанный сегмент,20,0,0.0,349.06
DIS_018,Discount / In-App / DIS_018,Discount,In-App,2024-05-15,2026-03-31,Смешанный сегмент,14,1,0.0714,229.61
DIS_019,Discount / SMS / DIS_019,Discount,SMS,2024-05-20,2026-03-19,Смешанный сегмент,12,2,0.1667,256.58
DIS_019,Discount / Retargeting / DIS_019,Discount,Retargeting,2024-12-02,2026-03-29,Смешанный сегмент,10,2,0.2,199.38
DIS_019,Discount / Email / DIS_019,Discount,Email,2024-09-12,2026-03-25,Смешанный сегмент,11,0,0.0,173.83
DIS_019,Discount / In-App / DIS_019,Discount,In-App,2024-04-24,2026-03-17,Смешанный сегмент,17,1,0.0588,289.48
DIS_019,Discount / Push / DIS_019,Discount,Push,2024-08-04,2026-03-23,Смешанный сегмент,23,2,0.087,359.24
DIS_020,Discount / Email / DIS_020,Discount,Email,2024-07-22,2026-03-02,Смешанный сегмент,16,0,0.0,309.31
DIS_020,Discount / In-App / DIS_020,Discount,In-App,2024-08-25,2026-03-18,Смешанный сегмент,19,2,0.1053,322.32
DIS_020,Discount / Retargeting / DIS_020,Discount,Retargeting,2025-05-01,2026-03-26,Смешанный сегмент,6,0,0.0,129.41
DIS_020,Discount / SMS / DIS_020,Discount,SMS,2025-01-24,2026-03-18,Смешанный сегмент,8,0,0.0,146.94
DIS_020,Discount / Push / DIS_020,Discount,Push,2024-04-11,2026-03-14,Смешанный сегмент,22,3,0.1364,395.74
DIS_021,Discount / Email / DIS_021,Discount,Email,2024-07-27,2026-03-22,Смешанный сегмент,17,0,0.0,303.28
DIS_021,Discount / In-App / DIS_021,Discount,In-App,2024-09-18,2026-03-27,Смешанный сегмент,13,1,0.0769,220.18
DIS_021,Discount / Push / DIS_021,Discount,Push,2024-07-12,2026-03-22,Смешанный сегмент,32,0,0.0,486.84
DIS_021,Discount / Retargeting / DIS_021,Discount,Retargeting,2025-02-23,2026-03-21,Смешанный сегмент,10,1,0.1,174.77
DIS_021,Discount / SMS / DIS_021,Discount,SMS,2025-03-27,2026-03-31,Смешанный сегмент,6,0,0.0,118.44
DIS_022,Discount / SMS / DIS_022,Discount,SMS,2024-11-28,2026-03-29,Смешанный сегмент,13,3,0.2308,251.37
DIS_022,Discount / Retargeting / DIS_022,Discount,Retargeting,2024-04-29,2026-03-21,Смешанный сегмент,5,0,0.0,86.78
DIS_022,Discount / Push / DIS_022,Discount,Push,2024-06-07,2026-03-26,Смешанный сегмент,28,1,0.0357,436.21
DIS_022,Discount / Email / DIS_022,Discount,Email,2024-02-12,2026-03-23,Смешанный сегмент,16,2,0.125,290.31
DIS_022,Discount / In-App / DIS_022,Discount,In-App,2024-07-07,2026-03-08,Смешанный сегмент,17,1,0.0588,261.04
DIS_023,Discount / Email / DIS_023,Discount,Email,2024-07-20,2026-03-13,Смешанный сегмент,15,0,0.0,276.17
DIS_023,Discount / In-App / DIS_023,Discount,In-App,2024-07-30,2026-03-27,Смешанный сегмент,11,2,0.1818,185.65
DIS_023,Discount / Push / DIS_023,Discount,Push,2024-05-16,2026-03-31,Смешанный сегмент,36,1,0.0278,594.31
DIS_023,Discount / Retargeting / DIS_023,Discount,Retargeting,2024-09-12,2026-02-25,Смешанный сегмент,5,0,0.0,93.64
DIS_023,Discount / SMS / DIS_023,Discount,SMS,2024-07-12,2026-01-07,Смешанный сегмент,7,0,0.0,138.02
DIS_024,Discount / Email / DIS_024,Discount,Email,2024-03-02,2026-03-30,Смешанный сегмент,14,0,0.0,215.27
DIS_024,Discount / In-App / DIS_024,Discount,In-App,2024-11-11,2026-03-06,Смешанный сегмент,16,0,0.0,244.12
DIS_024,Discount / Push / DIS_024,Discount,Push,2024-12-27,2026-03-31,Смешанный сегмент,31,0,0.0,525.65
DIS_024,Discount / Retargeting / DIS_024,Discount,Retargeting,2025-05-01,2026-03-27,Смешанный сегмент,6,1,0.1667,75.16
DIS_024,Discount / SMS / DIS_024,Discount,SMS,2024-09-07,2026-03-28,Смешанный сегмент,8,0,0.0,141.4
DIS_025,Discount / Retargeting / DIS_025,Discount,Retargeting,2025-04-15,2026-03-22,Смешанный сегмент,13,0,0.0,183.77
DIS_025,Discount / Push / DIS_025,Discount,Push,2024-11-09,2026-03-15,Смешанный сегмент,19,0,0.0,334.94
DIS_025,Discount / SMS / DIS_025,Discount,SMS,2024-10-07,2026-03-31,Смешанный сегмент,8,0,0.0,129.94
DIS_025,Discount / Email / DIS_025,Discount,Email,2024-11-09,2026-03-11,Смешанный сегмент,12,1,0.0833,242.92
DIS_025,Discount / In-App / DIS_025,Discount,In-App,2025-03-18,2026-03-23,Смешанный сегмент,4,0,0.0,75.62
DIS_026,Discount / Email / DIS_026,Discount,Email,2024-03-06,2026-03-31,Смешанный сегмент,20,3,0.15,376.26
DIS_026,Discount / In-App / DIS_026,Discount,In-App,2024-04-07,2026-03-26,Смешанный сегмент,15,0,0.0,222.68
DIS_026,Discount / Push / DIS_026,Discount,Push,2024-01-26,2026-03-26,Смешанный сегмент,32,0,0.0,500.48
DIS_026,Discount / Retargeting / DIS_026,Discount,Retargeting,2024-06-06,2026-03-30,Смешанный сегмент,9,0,0.0,151.38
DIS_026,Discount / SMS / DIS_026,Discount,SMS,2024-10-16,2026-03-22,Смешанный сегмент,11,1,0.0909,151.37
DIS_027,Discount / SMS / DIS_027,Discount,SMS,2024-10-16,2025-11-07,Смешанный сегмент,4,0,0.0,69.91
DIS_027,Discount / Retargeting / DIS_027,Discount,Retargeting,2024-08-06,2026-01-11,Смешанный сегмент,8,0,0.0,189.63
DIS_027,Discount / Push / DIS_027,Discount,Push,2024-06-01,2026-03-26,Смешанный сегмент,21,0,0.0,313.14
DIS_027,Discount / Email / DIS_027,Discount,Email,2024-04-29,2026-03-29,Смешанный сегмент,19,0,0.0,322.1
DIS_027,Discount / In-App / DIS_027,Discount,In-App,2024-02-13,2026-03-27,Смешанный сегмент,11,1,0.0909,183.95
DIS_028,Discount / Email / DIS_028,Discount,Email,2024-10-26,2026-03-21,Смешанный сегмент,16,0,0.0,304.46
DIS_028,Discount / In-App / DIS_028,Discount,In-App,2024-07-13,2026-03-26,Смешанный сегмент,11,0,0.0,189.71
DIS_028,Discount / Push / DIS_028,Discount,Push,2024-09-15,2026-03-04,Смешанный сегмент,26,1,0.0385,430.92
DIS_028,Discount / Retargeting / DIS_028,Discount,Retargeting,2024-08-01,2026-03-31,Смешанный сегмент,11,0,0.0,171.93
DIS_028,Discount / SMS / DIS_028,Discount,SMS,2025-04-15,2026-03-23,Смешанный сегмент,9,0,0.0,180.71
DIS_029,Discount / SMS / DIS_029,Discount,SMS,2025-06-05,2026-03-23,Смешанный сегмент,5,0,0.0,81.7
DIS_029,Discount / Push / DIS_029,Discount,Push,2024-03-02,2026-03-26,Смешанный сегмент,27,0,0.0,461.15
DIS_029,Discount / Retargeting / DIS_029,Discount,Retargeting,2024-12-07,2026-01-17,Смешанный сегмент,9,0,0.0,154.88
DIS_029,Discount / In-App / DIS_029,Discount,In-App,2024-07-10,2026-03-31,Смешанный сегмент,20,1,0.05,356.72
DIS_029,Discount / Email / DIS_029,Discount,Email,2024-04-19,2026-02-12,Смешанный сегмент,10,1,0.1,176.36
DIS_030,Discount / Email / DIS_030,Discount,Email,2024-03-23,2026-01-25,Смешанный сегмент,7,0,0.0,138.42
DIS_030,Discount / In-App / DIS_030,Discount,In-App,2025-09-16,2026-03-12,Смешанный сегмент,8,0,0.0,108.72
DIS_030,Discount / Push / DIS_030,Discount,Push,2024-05-07,2026-03-30,Смешанный сегмент,32,0,0.0,568.96
DIS_030,Discount / Retargeting / DIS_030,Discount,Retargeting,2024-07-12,2026-03-23,Смешанный сегмент,10,0,0.0,151.24
DIS_030,Discount / SMS / DIS_030,Discount,SMS,2025-04-14,2026-02-05,Смешанный сегмент,7,1,0.1429,146.18
DIS_031,Discount / SMS / DIS_031,Discount,SMS,2024-12-17,2026-03-28,Смешанный сегмент,12,0,0.0,242.21
DIS_031,Discount / Retargeting / DIS_031,Discount,Retargeting,2024-10-05,2026-01-01,Смешанный сегмент,8,0,0.0,183.76
DIS_031,Discount / Push / DIS_031,Discount,Push,2024-07-23,2026-03-29,Смешанный сегмент,28,3,0.1071,468.81
DIS_031,Discount / In-App / DIS_031,Discount,In-App,2024-09-14,2026-02-25,Смешанный сегмент,9,1,0.1111,141.21
DIS_031,Discount / Email / DIS_031,Discount,Email,2024-11-12,2026-03-19,Смешанный сегмент,20,0,0.0,241.77
DIS_032,Discount / Email / DIS_032,Discount,Email,2024-08-06,2026-03-31,Смешанный сегмент,14,0,0.0,153.02
DIS_032,Discount / In-App / DIS_032,Discount,In-App,2024-07-14,2026-03-29,Смешанный сегмент,19,0,0.0,284.73
DIS_032,Discount / Push / DIS_032,Discount,Push,2024-12-02,2026-03-28,Смешанный сегмент,25,0,0.0,406.62
DIS_032,Discount / Retargeting / DIS_032,Discount,Retargeting,2024-02-11,2026-03-14,Смешанный сегмент,12,0,0.0,193.42
DIS_032,Discount / SMS / DIS_032,Discount,SMS,2024-08-05,2026-03-17,Смешанный сегмент,9,0,0.0,165.94
DIS_033,Discount / SMS / DIS_033,Discount,SMS,2024-06-02,2026-03-31,Смешанный сегмент,11,2,0.1818,210.66
DIS_033,Discount / Retargeting / DIS_033,Discount,Retargeting,2024-06-29,2026-02-22,Смешанный сегмент,8,0,0.0,152.3
DIS_033,Discount / Email / DIS_033,Discount,Email,2024-08-25,2026-03-14,Смешанный сегмент,11,0,0.0,153.31
DIS_033,Discount / In-App / DIS_033,Discount,In-App,2024-09-24,2026-02-27,Смешанный сегмент,7,0,0.0,113.93
DIS_033,Discount / Push / DIS_033,Discount,Push,2024-04-18,2026-03-10,Смешанный сегмент,24,0,0.0,370.24
DIS_034,Discount / Email / DIS_034,Discount,Email,2024-12-23,2026-03-31,Смешанный сегмент,17,0,0.0,265.82
DIS_034,Discount / In-App / DIS_034,Discount,In-App,2024-08-09,2026-03-31,Смешанный сегмент,19,1,0.0526,215.2
DIS_034,Discount / Push / DIS_034,Discount,Push,2024-07-23,2026-03-28,Смешанный сегмент,28,1,0.0357,378.79
DIS_034,Discount / Retargeting / DIS_034,Discount,Retargeting,2024-11-21,2026-03-24,Смешанный сегмент,19,0,0.0,296.17
DIS_034,Discount / SMS / DIS_034,Discount,SMS,2025-02-09,2026-03-31,Смешанный сегмент,10,0,0.0,224.19
DIS_035,Discount / Email / DIS_035,Discount,Email,2024-08-26,2026-03-14,Смешанный сегмент,21,2,0.0952,426.88
DIS_035,Discount / In-App / DIS_035,Discount,In-App,2024-07-14,2026-03-12,Смешанный сегмент,17,0,0.0,293.94
DIS_035,Discount / Push / DIS_035,Discount,Push,2024-09-13,2026-03-30,Смешанный сегмент,25,2,0.08,409.2
DIS_035,Discount / Retargeting / DIS_035,Discount,Retargeting,2024-09-02,2026-03-10,Смешанный сегмент,6,0,0.0,91.62
DIS_035,Discount / SMS / DIS_035,Discount,SMS,2025-02-26,2026-03-22,Смешанный сегмент,11,1,0.0909,185.44
DIS_036,Discount / Retargeting / DIS_036,Discount,Retargeting,2024-09-08,2026-02-02,Смешанный сегмент,5,0,0.0,78.46
DIS_036,Discount / SMS / DIS_036,Discount,SMS,2025-02-25,2025-12-29,Смешанный сегмент,3,0,0.0,45.1
DIS_036,Discount / Push / DIS_036,Discount,Push,2024-05-08,2026-03-09,Смешанный сегмент,26,3,0.1154,449.18
DIS_036,Discount / In-App / DIS_036,Discount,In-App,2024-12-23,2026-03-31,Смешанный сегмент,14,0,0.0,226.05
DIS_036,Discount / Email / DIS_036,Discount,Email,2024-08-25,2026-03-24,Смешанный сегмент,14,0,0.0,235.9
DIS_037,Discount / Email / DIS_037,Discount,Email,2025-04-27,2026-03-21,Смешанный сегмент,16,1,0.0625,277.69
DIS_037,Discount / In-App / DIS_037,Discount,In-App,2024-12-23,2026-03-18,Смешанный сегмент,18,1,0.0556,282.98
DIS_037,Discount / Push / DIS_037,Discount,Push,2024-05-27,2026-03-12,Смешанный сегмент,24,1,0.0417,345.77
DIS_037,Discount / Retargeting / DIS_037,Discount,Retargeting,2024-08-27,2026-03-22,Смешанный сегмент,9,0,0.0,159.09
DIS_037,Discount / SMS / DIS_037,Discount,SMS,2024-04-21,2026-03-29,Смешанный сегмент,10,0,0.0,117.18
DIS_038,Discount / Email / DIS_038,Discount,Email,2024-09-22,2026-02-13,Смешанный сегмент,10,0,0.0,176.57
DIS_038,Discount / In-App / DIS_038,Discount,In-App,2024-06-15,2026-03-16,Смешанный сегмент,20,1,0.05,362.11
DIS_038,Discount / Push / DIS_038,Discount,Push,2024-04-24,2026-03-28,Смешанный сегмент,29,2,0.069,502.13
DIS_038,Discount / Retargeting / DIS_038,Discount,Retargeting,2024-04-11,2026-03-27,Смешанный сегмент,13,0,0.0,215.31
DIS_038,Discount / SMS / DIS_038,Discount,SMS,2024-11-04,2026-03-14,Смешанный сегмент,12,0,0.0,149.49
DIS_039,Discount / Retargeting / DIS_039,Discount,Retargeting,2024-07-11,2026-02-26,Смешанный сегмент,10,2,0.2,131.45
DIS_039,Discount / Push / DIS_039,Discount,Push,2024-09-27,2026-03-29,Смешанный сегмент,42,0,0.0,680.81
DIS_039,Discount / SMS / DIS_039,Discount,SMS,2024-12-10,2026-03-17,Смешанный сегмент,9,0,0.0,109.13
DIS_039,Discount / Email / DIS_039,Discount,Email,2024-09-06,2026-03-23,Смешанный сегмент,11,1,0.0909,233.05
DIS_039,Discount / In-App / DIS_039,Discount,In-App,2024-05-13,2026-02-28,Смешанный сегмент,12,1,0.0833,190.23
REA_001,Reactivation / Email / REA_001,Reactivation,Email,2025-03-29,2026-02-02,Пользователи с риском оттока,10,1,0.1,151.94
REA_001,Reactivation / In-App / REA_001,Reactivation,In-App,2024-09-11,2026-03-22,Пользователи с риском оттока,12,0,0.0,174.48
REA_001,Reactivation / Push / REA_001,Reactivation,Push,2024-06-15,2026-03-17,Пользователи с риском оттока,17,1,0.0588,269.66
REA_001,Reactivation / Retargeting / REA_001,Reactivation,Retargeting,2025-01-24,2026-01-15,Пользователи с риском оттока,8,0,0.0,164.89
REA_001,Reactivation / SMS / REA_001,Reactivation,SMS,2025-09-09,2026-02-08,Пользователи с риском оттока,3,0,0.0,37.07
REA_002,Reactivation / SMS / REA_002,Reactivation,SMS,2025-08-22,2026-01-20,Пользователи с риском оттока,4,0,0.0,50.3
REA_002,Reactivation / Retargeting / REA_002,Reactivation,Retargeting,2024-11-10,2025-11-26,Пользователи с риском оттока,3,0,0.0,58.96
REA_002,Reactivation / In-App / REA_002,Reactivation,In-App,2024-07-14,2026-02-10,Пользователи с риском оттока,9,0,0.0,159.43
REA_002,Reactivation / Email / REA_002,Reactivation,Email,2024-04-13,2026-03-26,Пользователи с риском оттока,9,0,0.0,174.58
REA_002,Reactivation / Push / REA_002,Reactivation,Push,2025-06-11,2026-03-01,Пользователи с риском оттока,10,0,0.0,164.68
REA_003,Reactivation / Retargeting / REA_003,Reactivation,Retargeting,2025-05-19,2026-03-23,Пользователи с риском оттока,3,0,0.0,60.87
REA_003,Reactivation / Email / REA_003,Reactivation,Email,2024-06-24,2026-03-26,Пользователи с риском оттока,5,0,0.0,109.07
REA_003,Reactivation / In-App / REA_003,Reactivation,In-App,2024-12-28,2026-03-26,Пользователи с риском оттока,18,2,0.1111,240.74
REA_003,Reactivation / Push / REA_003,Reactivation,Push,2024-06-03,2026-03-19,Пользователи с риском оттока,23,0,0.0,366.39
REA_003,Reactivation / SMS / REA_003,Reactivation,SMS,2025-05-21,2026-03-23,Пользователи с риском оттока,6,0,0.0,100.03
REA_004,Reactivation / SMS / REA_004,Reactivation,SMS,2024-10-08,2025-10-09,Пользователи с риском оттока,4,0,0.0,53.54
REA_004,Reactivation / Push / REA_004,Reactivation,Push,2024-10-16,2026-03-29,Пользователи с риском оттока,21,0,0.0,330.57
REA_004,Reactivation / Retargeting / REA_004,Reactivation,Retargeting,2025-01-20,2026-03-14,Пользователи с риском оттока,5,0,0.0,109.87
REA_004,Reactivation / In-App / REA_004,Reactivation,In-App,2024-04-17,2025-12-15,Пользователи с риском оттока,10,0,0.0,169.65
