touch_id,user_id,touch_ts,touch_channel,campaign_id,campaign_type,offer_type,opened_flag,clicked_flag,converted_within_7d_flag,converted_trip_id,treatment_group_demo,touch_cost
M0000101,U00019,2026-02-03T00:00:00,SMS,DIS_004,Discount,15% скидка,True,False,False,,treatment_a,4.28
M0000102,U00019,2026-03-02T00:00:00,Email,WEL_010,Welcome,5% скидка,False,False,False,,treatment_a,9.11
M0000103,U00019,2026-01-21T00:00:00,In-App,RET_012,Retention,5% скидка,True,True,False,,treatment_a,28.03
M0000104,U00019,2026-01-25T00:00:00,In-App,REA_035,Reactivation,20% скидка,True,False,False,,treatment_a,5.98
M0000105,U00020,2025-04-16T00:00:00,Retargeting,DIS_022,Discount,20% скидка,True,False,False,,control,20.05
M0000106,U00020,2025-05-13T00:00:00,SMS,SER_023,Service,10% скидка,False,False,False,,control,10.55
M0000107,U00020,2024-03-25T00:00:00,Email,REA_010,Reactivation,Без оффера,False,False,False,,treatment_a,20.61
M0000108,U00020,2024-10-25T00:00:00,In-App,DIS_003,Discount,10% скидка,True,False,False,,control,0.84
M0000109,U00020,2024-09-22T00:00:00,Retargeting,RET_015,Retention,15% скидка,False,False,False,,treatment_a,12.72
M0000110,U00020,2024-05-26T00:00:00,Push,SER_037,Service,Без оффера,False,False,False,,control,1.46
M0000111,U00021,2025-08-26T00:00:00,Email,REA_005,Reactivation,Без оффера,False,False,False,,treatment_a,28.14
M0000112,U00021,2026-03-11T00:00:00,In-App,RET_039,Retention,10% скидка,True,True,False,,treatment_b,29.08
M0000113,U00021,2025-11-15T00:00:00,In-App,DIS_032,Discount,15% скидка,True,True,False,,treatment_a,12.55
M0000114,U00021,2025-10-25T00:00:00,Push,RET_039,Retention,Пробный Ride Pass,False,False,False,,treatment_b,29.88
M0000115,U00021,2025-03-30T00:00:00,In-App,RET_001,Retention,20% скидка,False,False,False,,treatment_a,29.22
M0000116,U00021,2025-12-05T00:00:00,In-App,SUB_036,Subscription,Без оффера,False,False,False,,treatment_a,29.06
M0000117,U00021,2026-01-24T00:00:00,In-App,REA_013,Reactivation,20% скидка,False,False,False,,treatment_a,11.52
M0000118,U00021,2025-11-22T00:00:00,Push,RET_006,Retention,15% скидка,True,True,False,,treatment_a,22.17
M0000119,U00021,2026-03-15T00:00:00,Push,REA_038,Reactivation,10% скидка,True,True,False,,treatment_b,2.67
M0000120,U00022,2024-12-26T00:00:00,Email,SER_034,Service,15% скидка,True,True,False,,treatment_a,25.46
M0000121,U00022,2024-07-10T00:00:00,Push,SUB_010,Subscription,Без оффера,False,False,False,,treatment_a,6.83
M0000122,U00022,2025-07-10T00:00:00,Retargeting,SUB_007,Subscription,Без оффера,False,False,False,,treatment_a,2.16
M0000123,U00022,2025-01-26T00:00:00,Push,REA_016,Reactivation,5% скидка,False,False,False,,treatment_b,15.98
M0000124,U00022,2024-12-22T00:00:00,In-App,SER_023,Service,Без оффера,True,False,False,,treatment_b,25.66
M0000125,U00022,2025-05-29T00:00:00,Retargeting,WEL_035,Welcome,5% скидка,True,True,False,,treatment_a,31.63
M0000126,U00022,2024-05-13T00:00:00,In-App,DIS_013,Discount,20% скидка,True,False,False,,treatment_a,4.2
M0000127,U00023,2025-08-15T00:00:00,Email,SUB_005,Subscription,Без оффера,False,False,False,,treatment_a,16.33
M0000128,U00023,2026-02-28T00:00:00,Email,DIS_023,Discount,5% скидка,False,False,False,,treatment_b,20.18
M0000129,U00023,2026-01-29T00:00:00,Push,DIS_023,Discount,Пробный Ride Pass,False,False,False,,treatment_b,23.01
M0000130,U00024,2026-03-22T00:00:00,Email,SER_029,Service,15% скидка,True,False,False,,treatment_a,24.68
M0000131,U00024,2026-03-06T00:00:00,Push,RET_010,Retention,20% скидка,False,False,False,,treatment_a,31.14
M0000132,U00024,2025-11-21T00:00:00,Push,RET_032,Retention,15% скидка,True,True,False,,treatment_b,11.5
M0000133,U00024,2024-12-21T00:00:00,SMS,WEL_014,Welcome,15% скидка,False,False,False,,treatment_b,4.18
M0000134,U00024,2026-03-16T00:00:00,Push,WEL_015,Welcome,5% скидка,True,False,False,,treatment_b,30.15
M0000135,U00024,2025-07-01T00:00:00,SMS,REA_029,Reactivation,10% скидка,False,False,False,,control,22.15
M0000136,U00024,2024-12-07T00:00:00,In-App,RET_010,Retention,15% скидка,False,False,False,,treatment_b,2.76
M0000137,U00024,2025-12-04T00:00:00,Push,WEL_024,Welcome,10% скидка,False,False,False,,treatment_a,12.15
M0000138,U00024,2025-02-03T00:00:00,In-App,DIS_015,Discount,Без оффера,False,False,False,,treatment_a,18.64
M0000139,U00024,2025-07-03T00:00:00,Email,REA_022,Reactivation,Без оффера,True,False,False,,treatment_b,12.25
M0000140,U00024,2025-04-21T00:00:00,Push,WEL_037,Welcome,Без оффера,True,False,False,,control,28.49
M0000141,U00024,2025-06-19T00:00:00,SMS,DIS_035,Discount,15% скидка,True,False,False,,treatment_a,31.84
M0000142,U00025,2025-11-27T00:00:00,Push,REA_022,Reactivation,10% скидка,False,False,False,,control,12.39
M0000143,U00025,2025-11-01T00:00:00,Push,RET_020,Retention,15% скидка,False,False,False,,control,19.06
M0000144,U00025,2025-10-06T00:00:00,Email,SER_030,Service,Без оффера,False,False,False,,treatment_b,13.55
M0000145,U00025,2025-07-13T00:00:00,Push,WEL_038,Welcome,10% скидка,True,False,False,,treatment_a,3.78
M0000146,U00025,2025-12-22T00:00:00,In-App,WEL_035,Welcome,15% скидка,False,False,False,,treatment_a,20.37
M0000147,U00025,2025-06-18T00:00:00,Email,DIS_036,Discount,15% скидка,False,False,False,,treatment_a,7.6
M0000148,U00026,2025-10-13T00:00:00,Push,SER_023,Service,20% скидка,True,False,False,,treatment_a,29.15
M0000149,U00026,2026-02-11T00:00:00,SMS,RET_037,Retention,5% скидка,False,False,False,,treatment_a,5.87
M0000150,U00026,2025-06-29T00:00:00,In-App,REA_020,Reactivation,Пробный Ride Pass,False,False,False,,control,21.35
M0000151,U00026,2025-06-25T00:00:00,In-App,SUB_023,Subscription,10% скидка,False,False,False,,control,7.07
M0000152,U00026,2025-10-10T00:00:00,Push,DIS_014,Discount,10% скидка,True,False,False,,treatment_a,20.59
M0000153,U00026,2025-08-25T00:00:00,Email,RET_013,Retention,Без оффера,True,True,False,,treatment_b,27.58
M0000154,U00026,2026-03-19T00:00:00,Push,REA_038,Reactivation,5% скидка,False,False,False,,control,17.24
M0000155,U00027,2025-11-03T00:00:00,Push,REA_006,Reactivation,10% скидка,True,False,False,,treatment_a,2.68
M0000156,U00027,2026-02-02T00:00:00,Email,WEL_027,Welcome,Без оффера,False,False,False,,treatment_a,14.21
M0000157,U00027,2025-07-25T00:00:00,In-App,WEL_011,Welcome,Пробный Ride Pass,True,True,False,,treatment_b,8.69
M0000158,U00028,2025-10-30T00:00:00,Email,REA_032,Reactivation,10% скидка,False,False,False,,control,14.64
M0000159,U00028,2026-02-05T00:00:00,Email,RET_002,Retention,5% скидка,True,True,False,,treatment_b,10.29
M0000160,U00028,2025-12-25T00:00:00,SMS,SUB_038,Subscription,Без оффера,False,False,False,,treatment_a,14.5
M0000161,U00028,2026-03-05T00:00:00,Push,REA_016,Reactivation,5% скидка,True,False,False,,treatment_b,9.19
M0000162,U00028,2026-01-10T00:00:00,Retargeting,SUB_020,Subscription,15% скидка,False,False,False,,treatment_a,25.63
M0000163,U00028,2026-02-13T00:00:00,Push,RET_031,Retention,15% скидка,True,False,False,,treatment_a,10.1
M0000164,U00029,2025-04-23T00:00:00,Email,DIS_014,Discount,10% скидка,False,False,False,,treatment_a,24.44
M0000165,U00029,2026-02-13T00:00:00,Email,REA_014,Reactivation,Без оффера,False,False,False,,treatment_b,6.32
M0000166,U00030,2025-03-28T00:00:00,Email,RET_001,Retention,5% скидка,False,False,False,,treatment_a,10.13
M0000167,U00030,2025-07-09T00:00:00,Push,DIS_036,Discount,20% скидка,True,True,True,T0000285,treatment_a,29.85
M0000168,U00030,2025-09-01T00:00:00,Push,REA_030,Reactivation,10% скидка,True,False,False,,treatment_a,25.19
M0000169,U00030,2026-01-24T00:00:00,Push,RET_032,Retention,10% скидка,False,False,False,,treatment_a,27.38
M0000170,U00030,2025-12-18T00:00:00,Push,REA_028,Reactivation,15% скидка,True,False,False,,treatment_b,16.15
M0000171,U00030,2026-03-17T00:00:00,Push,RET_038,Retention,Без оффера,False,False,False,,treatment_a,26.84
M0000172,U00031,2025-06-27T00:00:00,Email,DIS_020,Discount,15% скидка,False,False,False,,treatment_b,30.17
M0000173,U00031,2025-08-22T00:00:00,SMS,DIS_028,Discount,10% скидка,False,False,False,,treatment_a,23.56
M0000174,U00031,2025-01-13T00:00:00,Push,SER_027,Service,Без оффера,True,False,False,,treatment_b,23.28
M0000175,U00031,2026-02-23T00:00:00,In-App,DIS_010,Discount,Без оффера,True,True,False,,treatment_a,7.7
M0000176,U00031,2026-01-21T00:00:00,Email,WEL_009,Welcome,Без оффера,False,False,False,,treatment_b,10.88
M0000177,U00031,2025-04-20T00:00:00,Retargeting,RET_011,Retention,10% скидка,False,False,False,,control,22.5
M0000178,U00031,2025-02-03T00:00:00,Push,DIS_023,Discount,Без оффера,False,False,False,,treatment_a,10.81
M0000179,U00031,2025-05-24T00:00:00,SMS,RET_031,Retention,Без оффера,False,False,False,,treatment_b,9.33
M0000180,U00031,2026-03-17T00:00:00,Push,WEL_025,Welcome,15% скидка,True,True,False,,treatment_b,11.25
M0000181,U00032,2024-09-30T00:00:00,In-App,DIS_032,Discount,Без оффера,False,False,False,,treatment_b,20.58
M0000182,U00032,2024-10-23T00:00:00,Push,REA_014,Reactivation,5% скидка,False,False,False,,treatment_b,24.81
M0000183,U00032,2025-02-07T00:00:00,In-App,RET_002,Retention,5% скидка,True,True,False,,treatment_b,1.35
M0000184,U00032,2026-01-11T00:00:00,Push,SUB_022,Subscription,20% скидка,False,False,False,,treatment_b,29.12
M0000185,U00032,2025-10-20T00:00:00,Push,REA_006,Reactivation,Без оффера,False,False,False,,treatment_b,1.15
M0000186,U00032,2025-10-09T00:00:00,Push,DIS_004,Discount,Пробный Ride Pass,True,True,False,,treatment_b,4.95
M0000187,U00032,2025-12-24T00:00:00,Push,WEL_011,Welcome,Без оффера,False,False,False,,control,10.96
M0000188,U00032,2025-06-04T00:00:00,Email,RET_032,Retention,5% скидка,True,True,False,,treatment_b,4.3
M0000189,U00033,2025-12-13T00:00:00,Email,REA_034,Reactivation,20% скидка,False,False,False,,treatment_a,25.07
M0000190,U00033,2025-10-02T00:00:00,In-App,RET_015,Retention,10% скидка,True,True,False,,treatment_a,13.1
M0000191,U00033,2025-12-12T00:00:00,Push,SUB_018,Subscription,10% скидка,False,False,False,,treatment_b,9.39
M0000192,U00033,2025-08-31T00:00:00,Push,WEL_002,Welcome,15% скидка,False,False,False,,control,16.69
M0000193,U00033,2026-01-28T00:00:00,Retargeting,SER_027,Service,5% скидка,True,False,False,,treatment_a,1.61
M0000194,U00033,2025-10-22T00:00:00,Retargeting,SUB_029,Subscription,Без оффера,True,True,False,,treatment_b,25.8
M0000195,U00033,2026-01-16T00:00:00,Email,RET_022,Retention,Пробный Ride Pass,False,False,False,,treatment_a,23.11
M0000196,U00033,2026-03-04T00:00:00,Push,RET_025,Retention,Без оффера,False,False,False,,control,20.88
M0000197,U00034,2025-12-03T00:00:00,Retargeting,WEL_009,Welcome,5% скидка,True,False,True,T0000336,treatment_a,31.62
M0000198,U00034,2025-06-01T00:00:00,Push,SUB_036,Subscription,15% скидка,True,True,False,,treatment_a,18.62
M0000199,U00034,2025-06-29T00:00:00,Retargeting,SUB_018,Subscription,Без оффера,False,False,False,,treatment_a,18.77
M0000200,U00035,2026-03-20T00:00:00,Push,DIS_031,Discount,10% скидка,False,False,False,,treatment_b,31.44
M0000201,U00035,2025-07-02T00:00:00,SMS,WEL_032,Welcome,5% скидка,True,True,False,,treatment_a,5.59
M0000202,U00035,2025-03-24T00:00:00,Retargeting,WEL_022,Welcome,Без оффера,True,False,False,,treatment_b,29.13
M0000203,U00035,2025-01-23T00:00:00,Retargeting,RET_019,Retention,Без оффера,True,False,False,,treatment_b,4.51
M0000204,U00035,2025-12-05T00:00:00,Push,RET_032,Retention,5% скидка,False,False,False,,treatment_b,31.16
M0000205,U00035,2025-04-04T00:00:00,In-App,RET_005,Retention,Без оффера,False,False,False,,treatment_a,1.55
M0000206,U00035,2025-11-01T00:00:00,In-App,RET_021,Retention,Без оффера,False,False,False,,treatment_a,24.41
M0000207,U00035,2025-02-05T00:00:00,Email,DIS_021,Discount,10% скидка,True,False,False,,treatment_a,16.05
M0000208,U00036,2025-06-27T00:00:00,Retargeting,SUB_030,Subscription,15% скидка,False,False,False,,treatment_a,19.89
M0000209,U00036,2025-06-04T00:00:00,In-App,DIS_014,Discount,10% скидка,True,True,True,T0000360,control,4.95
M0000210,U00037,2025-03-28T00:00:00,Push,SUB_031,Subscription,5% скидка,False,False,False,,control,28.38
M0000211,U00037,2025-11-11T00:00:00,Email,WEL_031,Welcome,20% скидка,False,False,False,,treatment_b,16.79
M0000212,U00037,2025-09-11T00:00:00,Push,DIS_007,Discount,10% скидка,True,False,False,,treatment_a,19.17
M0000213,U00037,2025-06-23T00:00:00,Email,WEL_015,Welcome,Пробный Ride Pass,False,False,False,,treatment_b,23.38
M0000214,U00038,2025-08-23T00:00:00,Email,SUB_005,Subscription,5% скидка,False,False,False,,treatment_b,28.37
M0000215,U00038,2025-10-18T00:00:00,Push,REA_002,Reactivation,Пробный Ride Pass,False,False,False,,treatment_a,28.93
M0000216,U00039,2025-09-21T00:00:00,Retargeting,WEL_021,Welcome,Без оффера,True,False,False,,treatment_a,14.9
M0000217,U00039,2025-08-08T00:00:00,Email,RET_009,Retention,10% скидка,False,False,False,,treatment_a,25.66
M0000218,U00039,2026-02-24T00:00:00,Push,SUB_022,Subscription,15% скидка,False,False,False,,treatment_a,11.2
M0000219,U00039,2025-06-17T00:00:00,In-App,RET_002,Retention,Без оффера,False,False,False,,control,8.28
M0000220,U00039,2025-11-03T00:00:00,Push,REA_014,Reactivation,20% скидка,False,False,False,,control,18.83
M0000221,U00039,2025-10-06T00:00:00,Push,SER_022,Service,15% скидка,True,False,False,,treatment_a,21.34
M0000222,U00039,2026-03-18T00:00:00,SMS,SER_010,Service,Без оффера,False,False,False,,treatment_a,26.14
M0000223,U00040,2025-11-16T00:00:00,Push,RET_032,Retention,5% скидка,False,False,False,,treatment_a,14.57
M0000224,U00040,2025-08-25T00:00:00,Retargeting,RET_022,Retention,15% скидка,False,False,False,,treatment_a,22.46
M0000225,U00040,2026-03-30T00:00:00,Push,RET_025,Retention,5% скидка,True,False,False,,treatment_a,30.1
M0000226,U00040,2026-02-24T00:00:00,SMS,DIS_005,Discount,Без оффера,False,False,False,,treatment_b,23.71
M0000227,U00040,2026-01-01T00:00:00,Email,SER_036,Service,10% скидка,False,False,False,,treatment_a,21.66
M0000228,U00041,2025-10-25T00:00:00,Email,REA_016,Reactivation,15% скидка,True,False,False,,treatment_a,12.93
M0000229,U00041,2025-09-09T00:00:00,Push,SER_011,Service,20% скидка,False,False,False,,treatment_a,11.66
M0000230,U00041,2026-03-22T00:00:00,In-App,SUB_007,Subscription,15% скидка,True,False,False,,control,7.28
M0000231,U00041,2026-01-22T00:00:00,Push,WEL_009,Welcome,10% скидка,True,False,False,,treatment_b,25.34
M0000232,U00042,2025-02-24T00:00:00,Retargeting,SUB_036,Subscription,10% скидка,False,False,False,,treatment_a,24.71
M0000233,U00042,2026-02-28T00:00:00,Push,RET_015,Retention,5% скидка,False,False,False,,control,5.54
M0000234,U00043,2025-11-22T00:00:00,Push,DIS_008,Discount,15% скидка,True,True,False,,treatment_a,19.46
M0000235,U00043,2026-02-16T00:00:00,SMS,REA_003,Reactivation,20% скидка,True,True,False,,treatment_a,9.1
M0000236,U00043,2025-09-10T00:00:00,Email,RET_021,Retention,15% скидка,False,False,False,,treatment_a,28.4
